YST,PLOT,DBH,study,tree,clone,space,silvi,SIZE,density,year
8,1331,15.74799952,201301,15,B,H,1,0.0134761,74.20569703,2017
9,1331,17.01799952,201301,15,B,H,1,0.0134761,74.20569703,2018
7,1331,15.74799952,201301,16,B,H,1,0.0134761,74.20569703,2016
8,1331,17.27200048,201301,16,B,H,1,0.0134761,74.20569703,2017
9,1331,18.54200048,201301,16,B,H,1,0.0134761,74.20569703,2018
7,1331,17.27200048,201301,21,B,H,1,0.0134761,74.20569703,2016
8,1331,19.05,201301,21,B,H,1,0.0134761,74.20569703,2017
9,1331,21.59,201301,21,B,H,1,0.0134761,74.20569703,2018
7,1331,12.19200048,201301,22,B,H,1,0.0134761,74.20569703,2016
8,1331,12.19200048,201301,22,B,H,1,0.0134761,74.20569703,2017
9,1331,12.44600024,201301,22,B,H,1,0.0134761,74.20569703,2018
7,1331,15.24,201301,23,B,H,1,0.0134761,74.20569703,2016
8,1331,17.27200048,201301,23,B,H,1,0.0134761,74.20569703,2017
9,1331,18.54200048,201301,23,B,H,1,0.0134761,74.20569703,2018
7,1331,7.873999758,201301,24,B,H,1,0.0134761,74.20569703,2016
8,1331,7.873999758,201301,24,B,H,1,0.0134761,74.20569703,2017
9,1331,7.873999758,201301,24,B,H,1,0.0134761,74.20569703,2018
7,1331,17.01799952,201301,25,B,H,1,0.0134761,74.20569703,2016
8,1331,18.28799952,201301,25,B,H,1,0.0134761,74.20569703,2017
9,1331,19.30399976,201301,25,B,H,1,0.0134761,74.20569703,2018
7,1331,11.68399976,201301,30,B,H,1,0.0134761,74.20569703,2016
8,1331,11.68399976,201301,30,B,H,1,0.0134761,74.20569703,2017
9,1331,11.93799952,201301,30,B,H,1,0.0134761,74.20569703,2018
7,1331,16.00200048,201301,31,B,H,1,0.0134761,74.20569703,2016
8,1331,18.03399976,201301,31,B,H,1,0.0134761,74.20569703,2017
9,1331,19.30399976,201301,31,B,H,1,0.0134761,74.20569703,2018
7,1331,17.52600024,201301,32,B,H,1,0.0134761,74.20569703,2016
8,1331,19.05,201301,32,B,H,1,0.0134761,74.20569703,2017
9,1331,20.06600024,201301,32,B,H,1,0.0134761,74.20569703,2018
7,1331,17.27200048,201301,34,B,H,1,0.0134761,74.20569703,2016
8,1331,18.79600024,201301,34,B,H,1,0.0134761,74.20569703,2017
9,1331,19.55799952,201301,34,B,H,1,0.0134761,74.20569703,2018
7,1331,14.22399976,201301,39,B,H,1,0.0134761,74.20569703,2016
8,1331,16.25600024,201301,39,B,H,1,0.0134761,74.20569703,2017
9,1331,17.27200048,201301,39,B,H,1,0.0134761,74.20569703,2018
7,1331,14.98600024,201301,40,B,H,1,0.0134761,74.20569703,2016
8,1331,16.00200048,201301,40,B,H,1,0.0134761,74.20569703,2017
9,1331,16.76399976,201301,40,B,H,1,0.0134761,74.20569703,2018
7,1331,16.25600024,201301,41,B,H,1,0.0134761,74.20569703,2016
8,1331,17.78,201301,41,B,H,1,0.0134761,74.20569703,2017
9,1331,19.05,201301,41,B,H,1,0.0134761,74.20569703,2018
7,1331,11.43,201301,42,B,H,1,0.0134761,74.20569703,2016
8,1331,12.19200048,201301,42,B,H,1,0.0134761,74.20569703,2017
9,1331,12.19200048,201301,42,B,H,1,0.0134761,74.20569703,2018
7,1331,13.97,201301,43,B,H,1,0.0134761,74.20569703,2016
8,1331,15.74799952,201301,43,B,H,1,0.0134761,74.20569703,2017
9,1331,16.76399976,201301,43,B,H,1,0.0134761,74.20569703,2018
7,1331,14.47799952,201301,48,B,H,1,0.0134761,74.20569703,2016
8,1331,15.24,201301,48,B,H,1,0.0134761,74.20569703,2017
9,1331,15.74799952,201301,48,B,H,1,0.0134761,74.20569703,2018
7,1331,16.25600024,201301,49,B,H,1,0.0134761,74.20569703,2016
8,1331,17.52600024,201301,49,B,H,1,0.0134761,74.20569703,2017
9,1331,18.54200048,201301,49,B,H,1,0.0134761,74.20569703,2018
7,1331,11.17600024,201301,50,B,H,1,0.0134761,74.20569703,2016
8,1331,11.93799952,201301,50,B,H,1,0.0134761,74.20569703,2017
9,1331,13.20799952,201301,50,B,H,1,0.0134761,74.20569703,2018
7,1331,15.74799952,201301,51,B,H,1,0.0134761,74.20569703,2016
8,1331,16.76399976,201301,51,B,H,1,0.0134761,74.20569703,2017
9,1331,17.52600024,201301,51,B,H,1,0.0134761,74.20569703,2018
7,1331,16.25600024,201301,52,B,H,1,0.0134761,74.20569703,2016
8,1331,19.05,201301,52,B,H,1,0.0134761,74.20569703,2017
9,1331,19.81200048,201301,52,B,H,1,0.0134761,74.20569703,2018
7,1411,22.86,201301,12,C,L,1,0.0404282,24.73523327,2016
8,1411,25.14599903,201301,12,C,L,1,0.0404282,24.73523327,2017
9,1411,27.43200048,201301,12,C,L,1,0.0404282,24.73523327,2018
7,1411,20.06600024,201301,13,C,L,1,0.0404282,24.73523327,2016
8,1411,22.86,201301,13,C,L,1,0.0404282,24.73523327,2017
9,1411,25.4,201301,13,C,L,1,0.0404282,24.73523327,2018
7,1411,13.20799952,201301,14,C,L,1,0.0404282,24.73523327,2016
8,1411,14.47799952,201301,14,C,L,1,0.0404282,24.73523327,2017
9,1411,16.00200048,201301,14,C,L,1,0.0404282,24.73523327,2018
7,1411,17.52600024,201301,15,C,L,1,0.0404282,24.73523327,2016
8,1411,19.05,201301,15,C,L,1,0.0404282,24.73523327,2017
9,1411,21.08200048,201301,15,C,L,1,0.0404282,24.73523327,2018
7,1411,23.11400097,201301,16,C,L,1,0.0404282,24.73523327,2016
8,1411,26.16200048,201301,16,C,L,1,0.0404282,24.73523327,2017
9,1411,28.70200048,201301,16,C,L,1,0.0404282,24.73523327,2018
7,1411,19.30399976,201301,21,C,L,1,0.0404282,24.73523327,2016
8,1411,21.59,201301,21,C,L,1,0.0404282,24.73523327,2017
9,1411,23.62200048,201301,21,C,L,1,0.0404282,24.73523327,2018
7,1411,18.03399976,201301,22,C,L,1,0.0404282,24.73523327,2016
8,1411,20.32,201301,22,C,L,1,0.0404282,24.73523327,2017
9,1411,22.60599903,201301,22,C,L,1,0.0404282,24.73523327,2018
7,1411,18.79600024,201301,23,C,L,1,0.0404282,24.73523327,2016
8,1411,21.59,201301,23,C,L,1,0.0404282,24.73523327,2017
9,1411,23.87599903,201301,23,C,L,1,0.0404282,24.73523327,2018
7,1411,20.82799952,201301,24,C,L,1,0.0404282,24.73523327,2016
8,1411,22.86,201301,24,C,L,1,0.0404282,24.73523327,2017
9,1411,25.14599903,201301,24,C,L,1,0.0404282,24.73523327,2018
7,1411,17.27200048,201301,25,C,L,1,0.0404282,24.73523327,2016
8,1411,19.30399976,201301,25,C,L,1,0.0404282,24.73523327,2017
9,1411,21.33599903,201301,25,C,L,1,0.0404282,24.73523327,2018
7,1411,20.06600024,201301,30,C,L,1,0.0404282,24.73523327,2016
8,1411,22.60599903,201301,30,C,L,1,0.0404282,24.73523327,2017
9,1411,24.63799952,201301,30,C,L,1,0.0404282,24.73523327,2018
7,1411,19.05,201301,31,C,L,1,0.0404282,24.73523327,2016
8,1411,20.32,201301,31,C,L,1,0.0404282,24.73523327,2017
9,1411,21.84400097,201301,31,C,L,1,0.0404282,24.73523327,2018
7,1411,19.81200048,201301,32,C,L,1,0.0404282,24.73523327,2016
8,1411,22.60599903,201301,32,C,L,1,0.0404282,24.73523327,2017
9,1411,25.14599903,201301,32,C,L,1,0.0404282,24.73523327,2018
7,1411,16.76399976,201301,33,C,L,1,0.0404282,24.73523327,2016
8,1411,18.28799952,201301,33,C,L,1,0.0404282,24.73523327,2017
9,1411,19.55799952,201301,33,C,L,1,0.0404282,24.73523327,2018
7,1411,19.55799952,201301,34,C,L,1,0.0404282,24.73523327,2016
8,1411,21.59,201301,34,C,L,1,0.0404282,24.73523327,2017
9,1411,24.13,201301,34,C,L,1,0.0404282,24.73523327,2018
7,1411,17.78,201301,39,C,L,1,0.0404282,24.73523327,2016
8,1411,20.06600024,201301,39,C,L,1,0.0404282,24.73523327,2017
9,1411,21.84400097,201301,39,C,L,1,0.0404282,24.73523327,2018
7,1411,18.03399976,201301,41,C,L,1,0.0404282,24.73523327,2016
8,1411,20.06600024,201301,41,C,L,1,0.0404282,24.73523327,2017
9,1411,21.84400097,201301,41,C,L,1,0.0404282,24.73523327,2018
7,1411,19.30399976,201301,42,C,L,1,0.0404282,24.73523327,2016
8,1411,22.35200048,201301,42,C,L,1,0.0404282,24.73523327,2017
9,1411,24.38400097,201301,42,C,L,1,0.0404282,24.73523327,2018
7,1411,19.55799952,201301,43,C,L,1,0.0404282,24.73523327,2016
8,1411,25.14599903,201301,43,C,L,1,0.0404282,24.73523327,2017
9,1411,28.19400097,201301,43,C,L,1,0.0404282,24.73523327,2018
7,1411,19.05,201301,48,C,L,1,0.0404282,24.73523327,2016
8,1411,21.33599903,201301,48,C,L,1,0.0404282,24.73523327,2017
9,1411,23.62200048,201301,48,C,L,1,0.0404282,24.73523327,2018
7,1411,18.79600024,201301,49,C,L,1,0.0404282,24.73523327,2016
8,1411,21.33599903,201301,49,C,L,1,0.0404282,24.73523327,2017
9,1411,23.11400097,201301,49,C,L,1,0.0404282,24.73523327,2018
7,1411,21.59,201301,50,C,L,1,0.0404282,24.73523327,2016
8,1411,24.63799952,201301,50,C,L,1,0.0404282,24.73523327,2017
9,1411,27.43200048,201301,50,C,L,1,0.0404282,24.73523327,2018
7,1411,17.78,201301,51,C,L,1,0.0404282,24.73523327,2016
8,1411,20.06600024,201301,51,C,L,1,0.0404282,24.73523327,2017
9,1411,21.59,201301,51,C,L,1,0.0404282,24.73523327,2018
7,1411,17.27200048,201301,52,C,L,1,0.0404282,24.73523327,2016
8,1411,17.78,201301,52,C,L,1,0.0404282,24.73523327,2017
9,1411,19.81200048,201301,52,C,L,1,0.0404282,24.73523327,2018
7,1431,13.20799952,201301,12,C,H,1,0.0134761,74.20569703,2016
8,1431,14.47799952,201301,12,C,H,1,0.0134761,74.20569703,2017
9,1431,15.49399976,201301,12,C,H,1,0.0134761,74.20569703,2018
7,1431,12.7,201301,13,C,H,1,0.0134761,74.20569703,2016
8,1431,13.71600024,201301,13,C,H,1,0.0134761,74.20569703,2017
9,1431,14.98600024,201301,13,C,H,1,0.0134761,74.20569703,2018
7,1431,14.47799952,201301,14,C,H,1,0.0134761,74.20569703,2016
8,1431,15.74799952,201301,14,C,H,1,0.0134761,74.20569703,2017
9,1431,17.01799952,201301,14,C,H,1,0.0134761,74.20569703,2018
7,1431,14.22399976,201301,15,C,H,1,0.0134761,74.20569703,2016
8,1431,15.24,201301,15,C,H,1,0.0134761,74.20569703,2017
9,1431,16.25600024,201301,15,C,H,1,0.0134761,74.20569703,2018
7,1431,15.74799952,201301,16,C,H,1,0.0134761,74.20569703,2016
8,1431,17.27200048,201301,16,C,H,1,0.0134761,74.20569703,2017
9,1431,18.79600024,201301,16,C,H,1,0.0134761,74.20569703,2018
7,1431,13.97,201301,21,C,H,1,0.0134761,74.20569703,2016
8,1431,14.98600024,201301,21,C,H,1,0.0134761,74.20569703,2017
9,1431,16.00200048,201301,21,C,H,1,0.0134761,74.20569703,2018
7,1431,12.7,201301,22,C,H,1,0.0134761,74.20569703,2016
8,1431,13.71600024,201301,22,C,H,1,0.0134761,74.20569703,2017
9,1431,14.47799952,201301,22,C,H,1,0.0134761,74.20569703,2018
7,1431,15.24,201301,23,C,H,1,0.0134761,74.20569703,2016
